Participant,Area,Contrast,SizeType,Slope,Offset
DBTE,V1,Low,radial,0.14152,0.31311
DBTE,V1,Low,polar,0.21328,1.3196
DBTE,V1,Low,average,0.1774,0.81634
DBTE,V1,Low,original_paper,0.21328,1.3196
DBTE,V1,Mid,radial,0.15993,0.31835
DBTE,V1,Mid,polar,0.038826,1.1533
DBTE,V1,Mid,average,0.099377,0.73585
DBTE,V1,Mid,original_paper,0.038826,1.1533
DBTE,V1,High,radial,0.16893,0.48128
DBTE,V1,High,polar,-0.0060798,3.2305
DBTE,V1,High,average,0.081426,1.8559
DBTE,V1,High,original_paper,-0.0060798,3.2305
DBTE,V2,Low,radial,0.19495,1.0652
DBTE,V2,Low,polar,0.36802,1.8063
DBTE,V2,Low,average,0.28149,1.4357
DBTE,V2,Low,original_paper,0.36802,1.8063
DBTE,V2,Mid,radial,0.29428,0.62464
DBTE,V2,Mid,polar,0.11737,1.6222
DBTE,V2,Mid,average,0.20582,1.1234
DBTE,V2,Mid,original_paper,0.11737,1.6222
DBTE,V2,High,radial,0.27573,0.91538
DBTE,V2,High,polar,0.85008,0.34628
DBTE,V2,High,average,0.56291,0.63083
DBTE,V2,High,original_paper,0.85008,0.34628
DBTE,V3,Low,radial,0.28454,1.7519
DBTE,V3,Low,polar,1.1985,1.0558
DBTE,V3,Low,average,0.74152,1.4039
DBTE,V3,Low,original_paper,1.1985,1.0558
DBTE,V3,Mid,radial,0.73097,0.15146
DBTE,V3,Mid,polar,0.71009,0.75952
DBTE,V3,Mid,average,0.72053,0.45549
DBTE,V3,Mid,original_paper,0.71009,0.75952
DBTE,V3,High,radial,0.40545,1.9909
DBTE,V3,High,polar,1.296,0.61521
DBTE,V3,High,average,0.85071,1.3031
DBTE,V3,High,original_paper,1.296,0.61521
KLWL,V1,Low,radial,0.79689,-1.6906
KLWL,V1,Low,polar,0.1662,3.1522
KLWL,V1,Low,average,0.48154,0.7308
KLWL,V1,Low,original_paper,0.1662,3.1522
KLWL,V1,Mid,radial,0.50325,0.12976
KLWL,V1,Mid,polar,0.27423,1.303
KLWL,V1,Mid,average,0.38874,0.71639
KLWL,V1,Mid,original_paper,0.27423,1.303
KLWL,V1,High,radial,0.46203,0.62801
KLWL,V1,High,polar,0.18602,3.8725
KLWL,V1,High,average,0.32403,2.2503
KLWL,V1,High,original_paper,0.18602,3.8725
KLWL,V2,Low,radial,0.68264,0.089105
KLWL,V2,Low,polar,0.1468,5.0088
KLWL,V2,Low,average,0.41472,2.549
KLWL,V2,Low,original_paper,0.1468,5.0088
KLWL,V2,Mid,radial,0.74203,0.3467
KLWL,V2,Mid,polar,0.314,2.606
KLWL,V2,Mid,average,0.52801,1.4763
KLWL,V2,Mid,original_paper,0.314,2.606
KLWL,V2,High,radial,0.52669,1.802
KLWL,V2,High,polar,0.35283,5.4594
KLWL,V2,High,average,0.43976,3.6307
KLWL,V2,High,original_paper,0.35283,5.4594
KLWL,V3,Low,radial,0.87234,1.3234
KLWL,V3,Low,polar,0.35929,6.1519
KLWL,V3,Low,average,0.61582,3.7377
KLWL,V3,Low,original_paper,0.35929,6.1519
KLWL,V3,Mid,radial,1.1093,-0.16572
KLWL,V3,Mid,polar,0.40343,2.9013
KLWL,V3,Mid,average,0.75635,1.3678
KLWL,V3,Mid,original_paper,0.40343,2.9013
KLWL,V3,High,radial,0.75928,2.771
KLWL,V3,High,polar,0.57328,4.2997
KLWL,V3,High,average,0.66628,3.5354
KLWL,V3,High,original_paper,0.57328,4.2997
AAPU,V1,Low,radial,0.25802,-0.45161
AAPU,V1,Low,polar,0.58069,-0.30799
AAPU,V1,Low,average,0.41935,-0.3798
AAPU,V1,Low,original_paper,0.58069,-0.30799
AAPU,V1,Mid,radial,0.2562,-0.42049
AAPU,V1,Mid,polar,-0.10151,2.1863
AAPU,V1,Mid,average,0.077345,0.8829
AAPU,V1,Mid,original_paper,-0.10151,2.1863
AAPU,V1,High,radial,0.40425,-0.90982
AAPU,V1,High,polar,0.072038,3.1483
AAPU,V1,High,average,0.23814,1.1192
